25/04/2023 10:51:47.420,__KP__,Работоспособность станции __RLS_1__ восстановлена
25/04/2023 10:51:47.427,__KP__,Работоспособность станции __RLS_2__ восстановлена
25/04/2023 10:51:47.434,__KP__,Работоспособность станции __RLS_3__ восстановлена
25/04/2023 10:51:47.441,__KP__,Работоспособность станции __SPRO__ восстановлена
25/04/2023 10:51:47.448,__KP__,Работоспособность станции __ZRDN_1__ восстановлена
25/04/2023 10:51:47.455,__KP__,Работоспособность станции __ZRDN_2__ восстановлена
25/04/2023 10:51:48.587,__KP__,Работоспособность станции __ZRDN_3__ восстановлена
25/04/2023 10:51:55.641,__RLS_2__,Обнаружен Бал.блок,923e92,X6454840 Y369528
25/04/2023 10:51:55.737,__ZRDN_2__,Обнаружена К.ракета,bf330f,X5993796 Y3400318
25/04/2023 10:51:55.759,__ZRDN_2__,Выстрел,bf330f,X5993796 Y3400318
25/04/2023 10:51:55.788,__RLS_2__,Обнаружен Бал.блок,5b6e59,X5753720 Y2171170
25/04/2023 10:51:55.878,__RLS_2__,Обнаружен Бал.блок,969291,X4262472 Y2663796
25/04/2023 10:51:55.899,__RLS_2__,Бал.блок движется в направлении СПРО,969291,X4262472 Y2663796
25/04/2023 10:51:55.943,__RLS_3__,Обнаружен Бал.блок,5b6e59,X5753720 Y2171170
25/04/2023 10:51:55.982,__RLS_1__,Обнаружен Бал.блок,5b6e59,X5753720 Y2171170
25/04/2023 10:51:56.012,__RLS_3__,Обнаружен Бал.блок,969291,X4262472 Y2663796
25/04/2023 10:51:56.030,__RLS_3__,Бал.блок движется в направлении СПРО,969291,X4262472 Y2663796
25/04/2023 10:51:56.153,__RLS_2__,Обнаружен Бал.блок,1367b4,X5032660 Y1420834
25/04/2023 10:51:56.180,__RLS_1__,Обнаружен Бал.блок,bf1db3,X4651612 Y5840070
25/04/2023 10:51:56.202,__RLS_3__,Обнаружен Бал.блок,1367b4,X5032660 Y1420834
25/04/2023 10:51:56.903,__ZRDN_2__,Сбита,bf330f,NULL
25/04/2023 10:51:58.339,__ZRDN_2__,Обнаружена К.ракета,15d467,X6368836 Y3117684
25/04/2023 10:51:58.355,__ZRDN_2__,Выстрел,15d467,X6368836 Y3117684
25/04/2023 10:52:00.504,__ZRDN_2__,Сбита,15d467,NULL
25/04/2023 10:52:04.567,__RLS_1__,Обнаружен Бал.блок,f32c38,X2659120 Y4950750
25/04/2023 10:52:18.791,__RLS_2__,Обнаружен Бал.блок,bd6c43,X7683788 Y3450626
25/04/2023 10:52:45.251,__RLS_1__,Обнаружен Бал.блок,1c3c35,X6701536 Y4806752
25/04/2023 10:52:45.272,__RLS_1__,Бал.блок движется в направлении СПРО,1c3c35,X6701536 Y4806752
25/04/2023 10:52:45.741,__SPRO__,Обнаружен Бал.блок,656f51,X2320784 Y3010152
25/04/2023 10:52:45.759,__SPRO__,Выстрел,656f51,X2320784 Y3010152
